id,gender,customer type,age,type of travel,class,flight distance,inflight wifi service,departure/arrival time convenient,ease of online booking,gate location,food and drink,online boarding,seat comfort,inflight entertainment,on-board service,leg room service,baggage handling,checkin service,inflight service,cleanliness,departure delay in minutes,arrival delay in minutes,satisfaction,age group,delay category,service score
95789,female,loyal customer,26,personal travel,eco,453,3,2,3,2,2,3,2,2,4,3,2,2,1,2,43,35.0,neutral or dissatisfied,18-30,31-60,2.4166666666666665
100580,male,disloyal customer,13,business travel,eco,486,2,1,2,3,4,2,1,4,2,1,4,1,3,4,1,0.0,neutral or dissatisfied,under 18,1-15,2.5
71142,female,loyal customer,26,business travel,business,2123,3,3,3,3,4,4,4,4,5,3,4,5,4,4,49,51.0,satisfied,18-30,31-60,3.9166666666666665
127461,male,loyal customer,41,business travel,business,2075,4,4,2,4,4,4,4,5,5,5,5,3,5,5,0,10.0,satisfied,31-45,no delay,4.25
70354,female,loyal customer,45,business travel,business,2486,4,4,4,4,3,4,5,5,5,5,5,3,5,4,7,5.0,satisfied,31-45,1-15,4.333333333333333
66246,male,loyal customer,38,personal travel,eco,460,2,3,3,2,5,3,5,5,1,2,4,3,2,5,17,18.0,neutral or dissatisfied,31-45,16-30,3.3333333333333335
39076,male,loyal customer,9,business travel,eco,1174,2,4,2,4,2,2,1,2,1,5,3,4,3,2,0,4.0,neutral or dissatisfied,under 18,no delay,2.4166666666666665
22434,female,loyal customer,17,personal travel,eco,208,3,1,3,3,5,3,5,5,2,5,3,3,4,5,0,0.0,neutral or dissatisfied,under 18,no delay,3.8333333333333335
43510,female,loyal customer,43,personal travel,eco,752,3,5,3,5,5,4,5,3,3,3,5,3,3,4,52,29.0,neutral or dissatisfied,31-45,31-60,3.6666666666666665
114090,female,loyal customer,58,personal travel,eco,2139,4,5,4,5,4,3,4,4,4,4,4,2,4,2,0,0.0,neutral or dissatisfied,46-60,no delay,3.5833333333333335
105420,female,disloyal customer,23,business travel,eco,452,5,0,5,1,1,5,1,1,4,5,5,3,5,1,54,44.0,satisfied,18-30,31-60,3.4166666666666665
102956,male,loyal customer,57,personal travel,eco,719,4,4,4,1,5,4,5,5,3,2,4,4,5,5,27,28.0,neutral or dissatisfied,46-60,16-30,4.166666666666667
18510,female,loyal customer,33,business travel,business,1561,1,1,1,1,1,5,3,4,4,4,3,5,4,2,0,0.0,satisfied,31-45,no delay,3.0833333333333335
14925,female,loyal customer,49,business travel,eco plus,315,4,4,4,4,2,2,1,4,4,4,4,2,4,2,0,8.0,satisfied,46-60,no delay,3.0833333333333335
118319,female,loyal customer,36,business travel,business,3347,3,1,1,1,1,2,1,3,3,3,3,2,3,2,18,12.0,neutral or dissatisfied,31-45,16-30,2.25
75460,male,loyal customer,22,personal travel,eco,2342,3,2,3,3,3,3,1,3,2,4,3,4,2,3,19,0.0,neutral or dissatisfied,18-30,16-30,2.8333333333333335
48492,female,loyal customer,31,business travel,business,819,4,4,4,4,5,5,5,5,5,4,3,1,5,5,0,0.0,satisfied,31-45,no delay,4.25
27809,female,disloyal customer,15,business travel,eco,1043,2,2,2,3,5,2,5,5,3,1,4,2,4,5,3,0.0,neutral or dissatisfied,under 18,1-15,3.3333333333333335
70594,female,loyal customer,35,business travel,business,2611,4,5,4,4,4,4,4,3,3,4,5,4,3,4,109,120.0,satisfied,31-45,60+,3.8333333333333335
30089,female,loyal customer,67,personal travel,eco,1192,4,5,4,1,2,4,5,5,5,4,3,5,5,5,18,24.0,neutral or dissatisfied,60+,16-30,4.25
58779,male,disloyal customer,37,business travel,business,1182,3,3,3,4,1,3,1,1,4,1,3,1,4,1,9,0.0,neutral or dissatisfied,31-45,1-15,2.1666666666666665
79659,female,loyal customer,40,business travel,eco,349,1,4,4,4,1,1,1,1,3,5,3,3,3,1,0,1.0,neutral or dissatisfied,31-45,no delay,2.25
110293,female,disloyal customer,34,business travel,business,883,3,4,4,3,5,4,2,5,5,4,5,4,5,5,0,0.0,neutral or dissatisfied,31-45,no delay,4.25
48014,male,loyal customer,40,personal travel,eco plus,550,4,3,4,2,2,4,2,2,5,1,4,3,4,2,23,20.0,neutral or dissatisfied,31-45,16-30,3.0833333333333335
96517,female,loyal customer,47,personal travel,eco,302,4,4,4,3,2,4,5,4,4,4,4,4,4,4,23,31.0,satisfied,46-60,16-30,3.9166666666666665
64685,male,disloyal customer,41,business travel,business,354,1,1,1,2,1,1,1,1,3,3,4,4,4,1,0,0.0,neutral or dissatisfied,31-45,no delay,2.0833333333333335
64138,male,loyal customer,39,business travel,business,1734,4,4,4,4,3,5,5,4,4,4,4,4,4,3,0,0.0,satisfied,31-45,no delay,4.0
60373,female,disloyal customer,25,business travel,business,1452,3,5,3,4,3,3,3,3,4,4,5,5,5,3,9,23.0,neutral or dissatisfied,18-30,1-15,3.6666666666666665
14849,male,loyal customer,41,business travel,business,296,0,0,0,3,2,5,3,4,4,4,4,4,4,3,0,0.0,satisfied,31-45,no delay,3.0833333333333335
28319,female,loyal customer,38,business travel,business,2882,3,3,3,3,2,1,4,5,5,5,5,2,5,4,0,0.0,satisfied,31-45,no delay,3.6666666666666665
103012,female,loyal customer,50,business travel,business,460,1,1,1,1,3,5,5,3,3,3,3,4,3,5,1,15.0,satisfied,46-60,1-15,3.25
124114,male,loyal customer,29,business travel,business,529,1,1,1,1,5,5,5,5,4,2,5,5,4,5,4,0.0,satisfied,18-30,1-15,3.9166666666666665
107794,female,loyal customer,22,personal travel,business,349,2,4,2,1,4,2,4,4,4,5,4,4,5,4,0,0.0,neutral or dissatisfied,18-30,no delay,3.6666666666666665
81983,female,loyal customer,13,business travel,business,1522,1,1,1,1,1,1,1,1,3,5,3,1,4,1,0,0.0,neutral or dissatisfied,under 18,no delay,1.9166666666666667
53164,male,loyal customer,54,business travel,business,612,3,3,3,3,5,2,3,5,5,5,5,4,5,3,8,0.0,satisfied,46-60,1-15,4.0
82042,male,loyal customer,21,personal travel,eco,1454,2,2,2,3,5,2,5,5,2,3,3,1,3,5,0,0.0,neutral or dissatisfied,18-30,no delay,3.1666666666666665
72127,male,loyal customer,28,business travel,eco,731,2,1,1,1,2,2,2,2,3,3,2,3,3,2,14,8.0,neutral or dissatisfied,18-30,1-15,2.25
113046,male,loyal customer,27,business travel,business,2076,3,3,3,3,4,4,4,4,3,4,4,4,5,4,0,1.0,satisfied,18-30,no delay,3.8333333333333335
1050,female,loyal customer,69,business travel,eco,309,5,5,5,5,1,2,3,5,5,5,5,4,5,2,0,0.0,satisfied,60+,no delay,3.9166666666666665
54886,male,loyal customer,35,personal travel,eco,775,2,3,2,4,4,2,4,4,4,4,3,4,1,4,1,0.0,neutral or dissatisfied,31-45,1-15,3.1666666666666665
125918,female,loyal customer,60,personal travel,eco,861,2,2,2,3,1,3,4,4,4,2,4,4,4,4,10,10.0,neutral or dissatisfied,46-60,1-15,3.1666666666666665
7467,female,loyal customer,45,business travel,business,3334,2,4,2,2,4,5,5,4,4,4,4,3,4,5,51,48.0,satisfied,31-45,31-60,3.8333333333333335
78972,female,loyal customer,57,business travel,business,2496,0,0,0,1,3,4,5,5,5,5,5,4,5,5,0,5.0,satisfied,46-60,no delay,3.8333333333333335
126625,male,loyal customer,40,business travel,business,602,5,5,5,5,2,5,5,5,5,5,5,3,5,4,0,0.0,satisfied,31-45,no delay,4.5
114501,female,disloyal customer,38,business travel,business,308,3,3,3,3,4,3,4,4,1,1,4,2,3,4,39,26.0,neutral or dissatisfied,31-45,31-60,3.0
114813,male,disloyal customer,23,business travel,eco,446,2,4,2,1,4,2,4,4,4,2,4,5,5,4,4,0.0,neutral or dissatisfied,18-30,1-15,3.5
32167,male,disloyal customer,39,business travel,business,216,2,2,2,3,3,2,3,3,2,1,4,2,4,3,0,0.0,neutral or dissatisfied,31-45,no delay,2.5833333333333335
68001,female,loyal customer,52,business travel,business,3475,2,2,2,2,4,4,4,4,4,4,4,4,4,3,0,0.0,satisfied,46-60,no delay,3.5833333333333335
117052,male,disloyal customer,25,business travel,eco,646,2,1,2,2,4,2,3,4,4,4,3,2,2,4,13,1.0,neutral or dissatisfied,18-30,1-15,3.0
8661,female,loyal customer,48,business travel,business,2501,3,3,3,3,5,4,4,5,5,5,5,4,5,4,0,0.0,satisfied,46-60,no delay,4.333333333333333
57165,female,loyal customer,59,business travel,business,2227,5,5,5,5,2,4,4,4,4,4,4,3,4,4,30,15.0,satisfied,46-60,16-30,3.9166666666666665
78610,male,loyal customer,25,business travel,business,1426,3,3,3,3,4,5,4,4,5,4,4,4,4,4,4,0.0,satisfied,18-30,1-15,4.0
51058,male,loyal customer,38,personal travel,eco,190,2,4,2,3,4,2,4,4,3,2,4,4,5,4,0,0.0,neutral or dissatisfied,31-45,no delay,3.3333333333333335
92027,male,loyal customer,46,business travel,business,1532,2,2,2,2,2,4,5,5,5,5,5,5,5,4,0,0.0,satisfied,46-60,no delay,4.083333333333333
115534,male,loyal customer,50,business travel,eco,308,2,1,1,1,2,2,2,2,3,2,2,2,3,2,18,12.0,neutral or dissatisfied,46-60,16-30,2.0833333333333335
9261,female,loyal customer,38,business travel,eco plus,157,4,4,4,4,4,4,4,4,3,3,1,1,4,4,0,0.0,satisfied,31-45,no delay,3.3333333333333335
61033,female,loyal customer,53,business travel,business,1506,4,4,4,4,3,4,5,5,5,5,5,4,5,5,0,0.0,satisfied,46-60,no delay,4.5
75930,male,loyal customer,30,business travel,eco plus,205,3,2,2,2,3,3,3,3,2,5,1,1,2,3,64,49.0,neutral or dissatisfied,18-30,60+,2.5833333333333335
112142,male,disloyal customer,39,business travel,business,895,2,2,2,4,5,2,5,5,5,4,4,5,5,5,0,2.0,neutral or dissatisfied,31-45,no delay,4.083333333333333
24518,male,loyal customer,66,personal travel,eco plus,516,1,4,1,2,2,1,2,2,4,4,5,5,5,2,0,37.0,neutral or dissatisfied,60+,no delay,2.8333333333333335
112524,male,loyal customer,45,personal travel,eco,909,3,5,3,2,1,3,1,1,4,4,5,3,4,1,0,0.0,neutral or dissatisfied,31-45,no delay,2.75
101639,female,disloyal customer,25,business travel,business,1435,5,1,5,4,1,5,1,1,4,2,5,4,5,1,1,1.0,satisfied,18-30,1-15,3.25
85018,male,loyal customer,52,business travel,business,1190,2,4,4,4,1,4,3,2,2,2,2,1,2,4,0,6.0,neutral or dissatisfied,46-60,no delay,2.4166666666666665
106922,male,loyal customer,64,personal travel,eco,1259,4,5,4,2,2,4,2,2,4,5,3,4,4,2,20,5.0,satisfied,60+,16-30,3.3333333333333335
32564,female,disloyal customer,50,business travel,eco,216,4,0,4,4,4,4,4,4,5,2,1,4,4,4,0,0.0,neutral or dissatisfied,46-60,no delay,3.6666666666666665
92242,female,disloyal customer,41,business travel,business,1670,2,1,1,2,3,2,4,3,3,5,3,4,5,3,0,0.0,neutral or dissatisfied,31-45,no delay,3.1666666666666665
73302,male,loyal customer,26,business travel,business,3960,1,1,1,1,4,4,4,4,4,2,5,4,4,4,45,48.0,satisfied,18-30,31-60,3.4166666666666665
42267,female,disloyal customer,25,business travel,eco,817,4,4,4,3,3,4,3,3,2,3,2,3,3,3,0,0.0,neutral or dissatisfied,18-30,no delay,3.0833333333333335
121358,female,disloyal customer,44,business travel,business,1670,3,3,3,4,5,3,5,5,3,2,4,2,4,5,0,8.0,neutral or dissatisfied,31-45,no delay,3.6666666666666665
65655,female,disloyal customer,21,business travel,business,861,4,0,4,4,1,4,1,1,3,4,4,4,5,1,0,0.0,satisfied,18-30,no delay,3.0
88062,male,loyal customer,47,business travel,business,406,2,2,2,2,3,5,5,4,4,4,4,5,4,4,44,50.0,satisfied,46-60,31-60,3.8333333333333335
91330,male,loyal customer,31,business travel,eco plus,404,4,4,4,4,4,4,4,4,1,2,2,4,2,4,17,3.0,satisfied,31-45,16-30,3.25
22031,female,loyal customer,57,personal travel,eco plus,500,3,5,3,2,3,4,5,5,5,3,5,4,5,5,0,0.0,neutral or dissatisfied,46-60,no delay,4.166666666666667
27921,male,loyal customer,44,personal travel,eco,689,3,5,3,4,5,3,2,5,4,4,5,3,5,5,0,0.0,neutral or dissatisfied,31-45,no delay,3.9166666666666665
51947,male,loyal customer,45,business travel,business,3100,3,3,3,3,1,1,3,4,4,4,4,3,4,1,0,0.0,satisfied,31-45,no delay,2.9166666666666665
40017,male,disloyal customer,13,business travel,eco,525,2,2,2,3,3,2,3,3,3,1,3,1,4,3,0,0.0,neutral or dissatisfied,under 18,no delay,2.5
76392,male,loyal customer,60,personal travel,eco,931,0,5,0,3,4,0,3,4,4,5,5,4,5,4,0,0.0,satisfied,46-60,no delay,3.1666666666666665
118486,female,disloyal customer,41,business travel,business,304,5,5,5,3,2,5,2,2,3,4,4,4,4,2,31,19.0,satisfied,31-45,31-60,3.5
6012,male,loyal customer,30,business travel,business,1896,4,1,1,1,4,4,4,4,2,2,3,4,2,4,81,72.0,neutral or dissatisfied,18-30,60+,3.1666666666666665
30183,female,loyal customer,51,business travel,eco plus,261,5,4,4,4,4,3,1,5,5,5,5,1,5,1,0,0.0,satisfied,46-60,no delay,3.6666666666666665
41652,female,loyal customer,61,business travel,eco,347,2,5,5,5,5,2,4,3,3,2,3,3,3,4,0,11.0,satisfied,60+,no delay,3.25
15138,female,loyal customer,32,business travel,eco,1042,4,1,1,1,4,4,4,4,4,3,1,5,2,4,35,34.0,satisfied,31-45,31-60,3.3333333333333335
123589,female,loyal customer,39,personal travel,eco,1773,4,5,4,5,5,4,5,5,2,2,3,3,1,5,14,18.0,neutral or dissatisfied,31-45,1-15,3.5833333333333335
114534,male,loyal customer,19,personal travel,business,342,3,1,3,2,3,3,3,3,2,1,3,1,3,3,0,0.0,neutral or dissatisfied,18-30,no delay,2.5833333333333335
93076,female,loyal customer,15,personal travel,eco plus,297,1,5,1,3,5,1,5,5,5,1,1,3,4,5,67,62.0,neutral or dissatisfied,under 18,60+,3.0833333333333335
96963,female,disloyal customer,42,business travel,business,883,3,3,3,3,3,3,4,3,5,2,4,3,4,3,22,27.0,satisfied,31-45,16-30,3.3333333333333335
85494,female,loyal customer,16,personal travel,eco,332,2,5,2,1,3,2,4,3,5,4,5,4,4,3,40,52.0,neutral or dissatisfied,under 18,31-60,3.4166666666666665
72989,male,loyal customer,19,business travel,business,2388,5,5,5,5,4,5,4,4,5,5,1,5,4,4,0,0.0,satisfied,18-30,no delay,4.25
42357,female,loyal customer,29,personal travel,eco,748,2,5,2,2,5,2,1,5,4,2,4,3,5,5,0,0.0,neutral or dissatisfied,18-30,no delay,3.3333333333333335
23040,female,disloyal customer,27,business travel,eco plus,1080,3,3,3,3,3,3,3,3,4,1,3,3,3,3,0,0.0,neutral or dissatisfied,18-30,no delay,2.9166666666666665
65420,male,disloyal customer,22,business travel,business,231,5,0,5,4,5,5,5,5,3,4,4,3,1,5,0,0.0,satisfied,18-30,no delay,4.166666666666667
65045,female,loyal customer,15,personal travel,eco,551,3,4,3,3,4,3,4,4,1,1,4,2,1,4,3,0.0,neutral or dissatisfied,under 18,1-15,2.8333333333333335
37373,male,disloyal customer,11,business travel,eco,972,1,1,1,3,1,1,1,1,4,3,4,2,1,1,0,0.0,neutral or dissatisfied,under 18,no delay,1.75
44405,female,loyal customer,34,personal travel,eco,265,4,3,4,3,5,4,5,5,2,5,2,1,4,5,0,23.0,neutral or dissatisfied,31-45,no delay,3.8333333333333335
16653,female,disloyal customer,26,business travel,eco,488,2,0,2,4,1,2,1,1,3,2,5,1,3,1,0,0.0,neutral or dissatisfied,18-30,no delay,2.0
71655,female,loyal customer,26,personal travel,eco,1144,3,5,2,2,4,2,4,4,5,4,5,3,5,4,0,0.0,neutral or dissatisfied,18-30,no delay,3.75
77591,male,loyal customer,53,business travel,business,2332,5,5,5,5,5,5,5,4,4,5,4,4,4,3,0,3.0,satisfied,46-60,no delay,4.416666666666667
4585,male,loyal customer,36,business travel,business,3024,4,2,2,2,1,3,4,4,4,4,4,4,4,1,30,13.0,neutral or dissatisfied,31-45,16-30,3.25
108347,male,loyal customer,32,business travel,business,1750,1,5,4,5,1,1,1,1,1,1,2,4,3,1,0,0.0,neutral or dissatisfied,31-45,no delay,1.75
23400,male,loyal customer,20,personal travel,eco,483,2,3,2,3,5,2,5,5,5,2,3,2,4,5,91,82.0,neutral or dissatisfied,18-30,60+,3.5
31010,female,loyal customer,35,business travel,business,2128,2,2,2,2,1,5,1,4,4,4,4,5,4,4,0,0.0,satisfied,31-45,no delay,3.3333333333333335
57513,male,loyal customer,15,personal travel,eco,235,2,4,2,1,1,2,1,1,3,3,4,4,4,1,1,10.0,neutral or dissatisfied,under 18,1-15,2.3333333333333335
20979,male,loyal customer,52,personal travel,eco,689,2,5,2,3,3,2,3,3,1,1,2,2,2,3,0,0.0,neutral or dissatisfied,46-60,no delay,2.1666666666666665
95841,male,loyal customer,45,business travel,business,1852,1,1,1,1,5,5,4,2,2,2,2,5,2,5,0,0.0,satisfied,31-45,no delay,3.0
114684,female,disloyal customer,24,business travel,eco,372,4,4,4,3,3,4,5,3,5,4,4,4,4,3,21,23.0,neutral or dissatisfied,18-30,16-30,3.9166666666666665
111667,female,loyal customer,46,business travel,business,3705,4,3,3,3,4,3,4,4,4,4,4,4,4,4,4,0.0,neutral or dissatisfied,46-60,1-15,3.8333333333333335
20101,male,disloyal customer,26,business travel,eco,416,3,0,3,3,1,3,1,1,3,5,2,3,3,1,0,9.0,neutral or dissatisfied,18-30,no delay,2.4166666666666665
63212,male,loyal customer,28,business travel,eco,337,4,1,1,1,4,4,4,4,1,3,2,3,2,4,3,0.0,neutral or dissatisfied,18-30,1-15,3.0
8256,male,loyal customer,11,personal travel,eco,335,1,5,1,3,3,1,3,3,4,2,4,5,5,3,0,0.0,neutral or dissatisfied,under 18,no delay,2.9166666666666665
56161,male,loyal customer,45,business travel,business,1400,5,5,5,5,2,5,5,4,4,4,4,3,4,5,4,9.0,satisfied,31-45,1-15,4.166666666666667
121196,male,loyal customer,62,personal travel,eco,2521,4,5,4,3,4,1,1,5,3,5,4,1,4,1,7,30.0,neutral or dissatisfied,60+,1-15,3.0833333333333335
23788,female,loyal customer,34,business travel,business,374,3,3,3,3,4,4,1,4,4,4,4,5,4,3,0,0.0,satisfied,31-45,no delay,3.5833333333333335
129579,male,loyal customer,51,business travel,business,308,2,2,2,2,4,5,5,4,4,4,4,3,4,5,17,8.0,satisfied,46-60,16-30,3.8333333333333335
127516,female,loyal customer,58,business travel,eco plus,575,1,4,4,4,2,3,4,2,2,1,2,2,2,4,14,16.0,neutral or dissatisfied,46-60,1-15,2.4166666666666665
18012,male,loyal customer,22,personal travel,eco,618,3,5,3,2,3,3,3,3,4,5,4,5,5,3,0,0.0,neutral or dissatisfied,18-30,no delay,3.6666666666666665
45561,male,loyal customer,8,business travel,eco,1304,4,4,4,4,4,4,4,4,2,2,4,2,1,4,0,0.0,satisfied,under 18,no delay,3.25
5228,male,disloyal customer,26,business travel,business,351,4,4,4,3,2,4,2,2,4,5,4,4,5,2,4,11.0,satisfied,18-30,1-15,3.5
18311,female,loyal customer,22,personal travel,eco,549,4,0,4,3,3,4,1,3,3,2,5,4,5,3,15,3.0,neutral or dissatisfied,18-30,1-15,3.4166666666666665
59891,female,loyal customer,21,business travel,business,3510,3,1,1,1,3,2,3,3,3,3,3,1,3,3,0,0.0,neutral or dissatisfied,18-30,no delay,2.5833333333333335
60651,male,loyal customer,31,business travel,business,1620,3,2,4,2,3,3,3,3,2,2,2,3,4,3,0,0.0,neutral or dissatisfied,31-45,no delay,2.9166666666666665
51013,female,loyal customer,44,personal travel,eco,326,2,0,2,2,2,3,5,1,1,2,1,2,1,5,0,0.0,neutral or dissatisfied,31-45,no delay,2.25
91746,male,loyal customer,27,business travel,business,588,2,2,2,2,5,5,5,5,5,2,5,3,5,5,0,0.0,satisfied,18-30,no delay,4.083333333333333
4233,female,loyal customer,47,business travel,business,1020,3,1,3,3,2,4,5,5,5,5,5,3,5,5,0,0.0,satisfied,46-60,no delay,4.166666666666667
14187,male,loyal customer,24,business travel,business,2903,3,3,3,3,3,3,3,3,4,2,2,2,2,3,0,0.0,neutral or dissatisfied,18-30,no delay,2.75
19669,male,loyal customer,67,business travel,business,2659,1,1,1,1,1,3,3,1,1,1,1,1,1,1,0,0.0,neutral or dissatisfied,60+,no delay,1.3333333333333333
31147,male,loyal customer,32,business travel,business,3037,2,2,2,2,4,4,4,4,4,1,1,3,5,4,0,0.0,satisfied,31-45,no delay,3.1666666666666665
128842,female,loyal customer,58,personal travel,eco,2475,4,4,4,3,4,1,1,3,3,3,4,1,3,1,29,10.0,satisfied,46-60,16-30,2.6666666666666665
27562,male,loyal customer,12,personal travel,eco,978,4,5,4,5,1,4,1,1,3,4,4,5,4,1,0,0.0,neutral or dissatisfied,under 18,no delay,3.0
775,female,loyal customer,56,business travel,business,2568,3,1,1,1,5,3,2,3,3,3,3,3,3,4,0,0.0,neutral or dissatisfied,46-60,no delay,3.0
14070,female,loyal customer,58,personal travel,business,371,3,5,5,1,2,3,5,1,1,5,1,3,1,3,0,0.0,neutral or dissatisfied,46-60,no delay,2.75
106007,male,disloyal customer,24,business travel,eco,791,3,3,3,3,5,3,5,5,2,1,3,1,3,5,39,6.0,neutral or dissatisfied,18-30,31-60,3.25
116004,male,loyal customer,68,personal travel,eco,480,3,4,3,3,5,3,5,5,2,4,3,4,4,5,7,6.0,neutral or dissatisfied,60+,1-15,3.8333333333333335
68886,male,loyal customer,46,business travel,business,1786,1,1,1,1,3,5,5,5,5,5,5,5,5,3,1,7.0,satisfied,46-60,1-15,4.0
72413,male,loyal customer,43,business travel,business,1849,2,2,2,2,2,4,4,3,3,4,3,3,3,4,0,7.0,satisfied,31-45,no delay,3.0833333333333335
73604,female,loyal customer,55,business travel,business,3634,0,4,0,4,4,5,5,4,4,1,1,4,4,3,0,0.0,satisfied,46-60,no delay,2.9166666666666665
48415,female,loyal customer,54,personal travel,business,844,4,5,5,2,2,4,4,3,3,5,3,3,3,4,0,0.0,neutral or dissatisfied,46-60,no delay,3.5833333333333335
105708,female,loyal customer,42,business travel,business,3094,5,5,5,5,4,4,5,2,2,2,2,5,2,3,0,10.0,satisfied,31-45,no delay,3.4166666666666665
65579,female,loyal customer,47,business travel,business,3465,1,3,3,3,3,3,4,1,1,1,1,1,1,4,13,15.0,neutral or dissatisfied,46-60,1-15,2.0
73058,female,disloyal customer,29,business travel,business,1035,1,1,1,1,5,1,5,5,4,4,4,4,4,5,0,0.0,neutral or dissatisfied,18-30,no delay,3.5833333333333335
65585,female,loyal customer,36,business travel,eco,237,2,4,4,4,2,2,2,2,2,4,2,1,1,2,0,0.0,neutral or dissatisfied,31-45,no delay,2.1666666666666665
8346,female,loyal customer,50,business travel,business,3175,4,4,4,4,2,4,5,5,5,5,5,4,5,3,0,0.0,satisfied,46-60,no delay,4.25
79678,female,loyal customer,31,personal travel,eco,760,4,2,4,4,1,4,1,1,3,4,4,4,4,1,17,27.0,neutral or dissatisfied,31-45,16-30,2.9166666666666665
112483,male,loyal customer,13,personal travel,eco,853,1,4,1,4,4,1,4,4,5,2,5,4,4,4,105,122.0,neutral or dissatisfied,under 18,60+,3.25
31698,male,disloyal customer,24,business travel,eco,446,3,4,4,4,5,4,5,5,4,4,4,2,4,5,0,0.0,neutral or dissatisfied,18-30,no delay,4.083333333333333
74030,female,loyal customer,60,business travel,business,1071,2,2,2,2,4,5,1,3,3,4,3,5,3,1,0,0.0,satisfied,46-60,no delay,3.0
124931,female,loyal customer,42,personal travel,eco,728,2,3,2,3,5,3,4,3,3,2,3,3,3,2,0,3.0,neutral or dissatisfied,31-45,no delay,2.9166666666666665
73924,female,loyal customer,57,business travel,business,2585,2,2,2,2,4,4,4,4,3,5,4,4,3,4,0,0.0,satisfied,46-60,no delay,3.5833333333333335
76073,female,loyal customer,42,business travel,business,707,2,2,4,2,2,5,4,3,3,4,3,4,3,3,27,11.0,satisfied,31-45,16-30,3.3333333333333335
104623,male,disloyal customer,20,business travel,eco,861,0,0,0,5,2,0,2,2,4,3,5,3,5,2,0,0.0,satisfied,18-30,no delay,2.3333333333333335
58523,female,loyal customer,51,personal travel,eco,719,3,5,2,4,3,5,4,4,4,2,4,4,4,3,19,0.0,neutral or dissatisfied,46-60,16-30,3.5
121929,male,loyal customer,45,business travel,business,1790,2,5,2,2,2,4,5,5,5,5,5,3,5,4,0,0.0,satisfied,31-45,no delay,3.9166666666666665
30704,female,loyal customer,26,business travel,eco plus,680,5,5,5,5,5,5,5,5,1,4,5,1,3,5,12,27.0,satisfied,18-30,1-15,4.083333333333333
58896,male,disloyal customer,26,business travel,eco,888,2,2,2,3,5,2,5,5,4,3,3,2,4,5,51,30.0,neutral or dissatisfied,18-30,31-60,3.5
26920,female,loyal customer,24,personal travel,eco,1660,2,1,2,3,3,2,5,3,1,4,2,2,2,3,0,2.0,neutral or dissatisfied,18-30,no delay,2.5833333333333335
13884,male,loyal customer,49,business travel,eco,578,5,1,1,1,5,5,5,1,1,1,4,5,4,5,162,179.0,satisfied,46-60,60+,3.5
87681,female,loyal customer,17,business travel,eco,606,5,1,4,1,5,5,4,5,5,1,2,5,3,5,15,15.0,satisfied,under 18,1-15,4.083333333333333
